time,open,high,low,close,volume
2022-07-19,60.96,61.05,60.2,60.37,812100
2022-07-20,60.62,61.39,60.62,61.39,544900
2022-07-21,61.39,61.72,61.05,61.39,1164600
2022-07-22,61.05,61.56,60.96,61.39,1009600
2022-07-25,61.3,61.98,60.96,61.72,962700
2022-07-26,61.98,62.99,61.98,62.57,1119800
2022-07-27,62.66,63.5,62.4,63.5,1259900
2022-07-28,63.84,64.01,63.33,63.76,1164800
2022-07-29,63.84,63.93,63.25,63.25,1176000
2022-08-01,63.25,65.2,62.99,65.2,1577300
2022-08-02,65.2,67.06,64.35,66.8,1777800
2022-08-03,66.3,67.31,66.04,67.31,1005700
2022-08-04,67.31,69.85,67.23,69.85,2261100
2022-08-05,69.43,69.77,68.67,69.43,1395800
2022-08-08,69.43,69.85,69.34,69.43,915000
2022-08-09,69.43,69.43,67.65,68.41,1217900
2022-08-10,67.82,68.58,67.82,68.16,507500
2022-08-11,68.84,69.43,68.24,69.01,1171500
2022-08-12,69.01,69.34,68.5,69.09,1251800
2022-08-15,69.43,69.68,69.18,69.26,1259500
2022-08-16,69.43,69.43,68.67,69.01,687100
2022-08-17,68.75,69.18,68.75,69.01,764000
2022-08-18,68.84,69.43,68.75,69.01,1568600
2022-08-19,68.24,69.43,68.24,68.5,1148000
2022-08-22,67.82,69.01,67.74,67.74,525800
2022-08-23,67.74,68.84,67.65,67.91,648000
2022-08-24,68.75,70.19,67.99,69.43,1083700
2022-08-25,69.6,69.6,68.84,69.43,538800
2022-08-26,69.43,70.87,69.43,69.85,1559500
2022-08-29,68.92,69.85,68.5,69.85,951500
2022-08-30,69.85,72.82,69.85,72.82,2502800
